|id_texto|codigo_steam|nome_jogo|texto_comentario|site
0|218261480|105600.0|terraria|E POGGERS|steam
1|218139992|105600.0|terraria|oi|steam
2|218042630|105600.0|terraria|Better than life|steam
3|218041328|105600.0|terraria|tuffo|steam
4|218038914|105600.0|terraria|E MUITO BOM E ME DA UM POUCI DE MEDO NA CAVERNA|steam
5|217977784|105600.0|terraria|Perfeito. Tudo neste jogo é perfeito.|steam
6|217976530|105600.0|terraria|Jogo goated. ele é bue peak. a unica parte má é o inicio de resto peak joguinho pqp|steam
7|217939102|105600.0|terraria|muito bom recomendo|steam
8|217859064|105600.0|terraria|MOOON LORD FD_PPPPPPPPPPPPPPPP|steam
9|217592739|105600.0|terraria|👍|steam
10|217508621|105600.0|terraria|melee class go brrr...|steam
11|217502874|105600.0|terraria|BIzarramente bom, um dos melhores jogos que já joguei.|steam
12|217497306|105600.0|terraria|too confusing, but kinda cool ig|steam
13|217469184|105600.0|terraria|Muito bom, nunca dei atenção para terraria mas quando comecei a jogar realmente gostei.|steam
14|217443903|105600.0|terraria|muito bom tem muita coisa para fazer uns bosses um pouco dificils mas muito bom|steam
15|217374814|105600.0|terraria|rumo as 1000 horas de jogatina|steam
16|217364480|105600.0|terraria|Pare de procurar analises ruins, esse jogo não tem defeitos, apenas compre imediatamente.|steam
17|217360876|105600.0|terraria|the game let's you whip your kfc eater friends|steam
18|217345633|105600.0|terraria|:)|steam
19|217329766|105600.0|terraria|joguei com amigos e gosto muito da progressão do jogo, os bosses e sua história. Joguei muitas horas e até hoje, ainda me surpreendo com algumas coisas.|steam
20|217296354|105600.0|terraria|💖|steam
21|217294817|105600.0|terraria|é terraria né, n tem nem oq falar|steam
22|217247081|105600.0|terraria|um dos melhores jogos que ja joguei, os bosses e as trilhas sonoras são muito boas, muito dificil mas divertido de jogar com os amigos, recomendo comprar quem ainda não comprou|steam
23|217236661|105600.0|terraria|muito bom sou iniciante mas é mt bom recomendo|steam
24|217236621|105600.0|terraria|jogo muito bom melhor que mine e muito bom com amigos|steam
25|217204205|105600.0|terraria|jogo véi peba|steam
26|217180749|105600.0|terraria|melhor jogo da historia|steam
27|217114833|105600.0|terraria|perfeito mas poderia dar para usar esmeralda para construir o spaoner de slaime rei|steam
28|217112453|105600.0|terraria|É tipo terraria mas terraria.|steam
29|217099343|105600.0|terraria|"pre boss hardmode sucks balls after that it's cool i guess
"|steam
30|217086837|105600.0|terraria|legal|steam
31|217068068|105600.0|terraria|baum|steam
32|217029663|105600.0|terraria|o jogo bom da porra, contando com a psn eu tenho mais de 400 horas de terraria, apenas compre, ele é melhor doque o minecraft. 100/10|steam
33|216988425|105600.0|terraria|amei pq foi espancado por um olho enorme gulosadamente|steam
34|216968247|105600.0|terraria|"muito sexo e safadeza com npcs
"|steam
35|216949511|105600.0|terraria|muitobom|steam
36|216947511|105600.0|terraria|Best 2D game ever created|steam
37|216845405|105600.0|terraria|gostei, é maneiro e recomendo 😑|steam
38|216824216|105600.0|terraria|tipo minecraft|steam
39|216779860|105600.0|terraria|"BANGER (overall)
kinda like minecraft, but more things, and banger but not as banger music as minecraft, 5 stars.
If u like games like open world and sandbox this is for you!"|steam
40|216684552|105600.0|terraria|ya|steam
41|216623206|105600.0|terraria|Muito melhor que mine:|steam
42|216622725|105600.0|terraria|até que é bom|steam
43|216588005|105600.0|terraria|jogo muito legal, mas tem que pesquisar muito no youtube principalmente se nao for jogar de melee, nao recomendo pra jogadores que se estressam facil, mas é um grande desafio zerar essse jogo.|steam
44|216500521|105600.0|terraria|muito bom|steam
45|216449309|105600.0|terraria|" Terraria é muito mais do que um simples jogo 2D. É uma experiência profunda, versátil e altamente viciante, que recompensa a curiosidade e a criatividade. A sua longevidade e popularidade são provas da qualidade do seu design e do impacto duradouro que teve no género sandbox.

"|steam
46|216381160|105600.0|terraria|Bacana.|steam
47|216358709|105600.0|terraria|eu joguei o jogo por muito tempo derrepente minha luz caiu e perdi meu mundo inteiro com meus baus e tudo jogo horrivel mesmo com desconto comprei atoa ninguem merece, voltei aqui denovo criei outro mundo joguei por mais 48 horas PERDI O MUNDO DENOVO|steam
48|216350620|105600.0|terraria|"I LOVE THE COMBAT .THE ANIMATIONS ARE AMAZING, THIS GAME IS AWESOME 
I LOVE IT"|steam
49|216330998|105600.0|terraria|Pra quem gosta de pescar a missão do pescador é perfeita, mas sinceramente, eu n eguento mais fazer 😭😭😭😭😭 (jogo a 6 anos e to fazendo pela 3 vezkkkkkk)|steam
50|216290895|105600.0|terraria|absolute cinema|steam
51|216117384|105600.0|terraria|jogo muito top mal entrei no jogo e aconselho comessar pelo modo mestre|steam
52|216083659|105600.0|terraria|Terra.|steam
